description,category
grocery shopping 701,Groceries
uber ride,Transport
bonus received transaction,Income
grocery shopping transaction,Groceries
internet bill expense,Utilities
train ticket,Transport
taxi fare transaction,Transport
medical bill,Health
ration store,Groceries
bonus received,Income
game purchase transaction,Entertainment
clothes purchase 572,Shopping
health checkup expense,Health
bonus received,Income
mobile recharge,Utilities
cashback received 4217,Income
hotel booking payment,Travel
snacks,Food
auto rickshaw,Transport
game purchase 3174,Entertainment
medical bill expense,Health
vegetable market transaction,Groceries
hotel booking,Travel
cinema expense,Entertainment
food delivery transaction,Food
coffee expense,Food
new shoes,Shopping
resort stay,Travel
supermarket,Groceries
cashback received,Income
flight ticket transaction,Travel
movie ticket expense,Entertainment
flight ticket 4892,Travel
tour booking,Travel
salary credited 2681,Income
hotel booking payment,Travel
milk purchase,Groceries
grocery shopping payment,Groceries
water bill expense,Utilities
water bill,Utilities
daily groceries 919,Groceries
milk purchase,Groceries
cinema payment,Entertainment
shopping,Shopping
metro ticket,Transport
petrol 2235,Transport
pharmacy payment,Health
ration store 2200,Groceries
grocery shopping,Groceries
tea,Food
flipkart order,Shopping
movie ticket,Entertainment
diesel 1539,Transport
movie ticket,Entertainment
netflix subscription,Entertainment
health checkup,Health
mall shopping 3419,Shopping
spotify premium,Entertainment
interest income transaction,Income
ration store 2735,Groceries
medical bill expense,Health
movie ticket payment,Entertainment
game purchase,Entertainment
grocery shopping,Groceries
bonus received expense,Income
restaurant meal 1684,Food
tea transaction,Food
health checkup 1528,Health
mobile recharge expense,Utilities
tour booking,Travel
bus ticket,Transport
gas bill transaction,Utilities
hospital visit,Health
hotel booking payment,Travel
flight ticket transaction,Travel
mobile recharge 2104,Utilities
spotify premium payment,Entertainment
ola cab,Transport
vacation travel,Travel
food delivery 4307,Food
concert ticket payment,Entertainment
internet bill expense,Utilities
mall shopping 1361,Shopping
bonus received payment,Income
cashback received 4323,Income
wifi payment payment,Utilities
online shopping transaction,Shopping
internet bill 898,Utilities
grocery shopping expense,Groceries
wifi payment,Utilities
supermarket,Groceries
lunch payment,Food
salary credited,Income
flight ticket transaction,Travel
spotify premium 3943,Entertainment
freelance payment,Income
mobile recharge,Utilities
breakfast,Food
new shoes expense,Shopping
electronics purchase,Shopping
concert ticket,Entertainment
spotify premium expense,Entertainment
mall shopping transaction,Shopping
gas station,Transport
pharmacy expense,Health
daily groceries 2930,Groceries
hospital visit,Health
medical bill,Health
snacks payment,Food
grocery shopping payment,Groceries
bonus received expense,Income
burger payment,Food
internet bill,Utilities
petrol,Transport
pizza,Food
concert ticket payment,Entertainment
game purchase payment,Entertainment
metro ticket payment,Transport
metro ticket 4185,Transport
fuel refill,Transport
uber ride,Transport
bonus received transaction,Income
doctor consultation payment,Health
fuel refill payment,Transport
cinema expense,Entertainment
lunch transaction,Food
tour booking expense,Travel
medicine purchase 2722,Health
electricity bill payment,Utilities
breakfast transaction,Food
hotel booking transaction,Travel
mall shopping expense,Shopping
game purchase,Entertainment
ola cab payment,Transport
water bill payment,Utilities
freelance payment transaction,Income
freelance payment payment,Income
interest income,Income
supermarket,Groceries
gas bill 994,Utilities
trip expense,Travel
doctor consultation expense,Health
concert ticket transaction,Entertainment
medicine purchase 1059,Health
burger expense,Food
trip expense 1643,Travel
netflix subscription payment,Entertainment
grocery shopping transaction,Groceries
cashback received 548,Income
trip expense,Travel
vacation travel 3525,Travel
internet bill expense,Utilities
milk purchase expense,Groceries
petrol transaction,Transport
shopping payment,Shopping
fuel refill,Transport
electricity bill expense,Utilities
grocery shopping,Groceries
flipkart order,Shopping
medicine purchase transaction,Health
burger transaction,Food
wifi payment payment,Utilities
ration store expense,Groceries
wifi payment payment,Utilities
bus ticket,Transport
food delivery 201,Food
doctor consultation expense,Health
vegetable market payment,Groceries
gas station transaction,Transport
freelance payment,Income
daily groceries 1700,Groceries
coffee,Food
game purchase transaction,Entertainment
bonus received transaction,Income
ration store payment,Groceries
amazon order transaction,Shopping
snacks 3820,Food
hospital visit expense,Health
taxi fare,Transport
uber ride payment,Transport
bonus received,Income
online shopping transaction,Shopping
pharmacy,Health
gas bill payment,Utilities
trip expense 54,Travel
online shopping,Shopping
snacks transaction,Food
doctor consultation 3887,Health
mobile recharge,Utilities
mobile recharge payment,Utilities
interest income payment,Income
daily groceries,Groceries
concert ticket,Entertainment
ola cab,Transport
concert ticket,Entertainment
interest income,Income
game purchase expense,Entertainment
daily groceries transaction,Groceries
tour booking 3371,Travel
diesel,Transport
spotify premium payment,Entertainment
refund received 1245,Income
freelance payment 2236,Income
uber ride expense,Transport
fuel refill payment,Transport
shopping expense,Shopping
food delivery expense,Food
medical bill expense,Health
doctor consultation payment,Health
bus ticket,Transport
grocery shopping transaction,Groceries
electricity bill,Utilities
street food payment,Food
electricity bill transaction,Utilities
hospital visit,Health
pizza payment,Food
trip expense expense,Travel
cashback received payment,Income
burger expense,Food
hotel booking transaction,Travel
medical bill 793,Health
swiggy order expense,Food
wifi payment 3823,Utilities
flipkart order expense,Shopping
spotify premium,Entertainment
refund received 1162,Income
milk purchase transaction,Groceries
lunch,Food
shopping payment,Shopping
hospital visit transaction,Health
interest income 2021,Income
internet bill,Utilities
coffee 1270,Food
snacks 2547,Food
game purchase transaction,Entertainment
grocery shopping expense,Groceries
game purchase 3684,Entertainment
ration store payment,Groceries
salary credited 3521,Income
salary credited 2335,Income
spotify premium transaction,Entertainment
electricity bill transaction,Utilities
ration store,Groceries
bonus received transaction,Income
doctor consultation 407,Health
cashback received expense,Income
gas station,Transport
tour booking,Travel
lunch 4049,Food
burger payment,Food
food delivery expense,Food
interest income,Income
tour booking,Travel
spotify premium payment,Entertainment
concert ticket transaction,Entertainment
doctor consultation expense,Health
ration store payment,Groceries
pharmacy,Health
swiggy order 600,Food
netflix subscription transaction,Entertainment
netflix subscription 2538,Entertainment
salary credited,Income
supermarket transaction,Groceries
milk purchase payment,Groceries
pizza,Food
diesel payment,Transport
electricity bill expense,Utilities
breakfast payment,Food
new shoes transaction,Shopping
interest income expense,Income
cashback received payment,Income
metro ticket expense,Transport
mobile recharge transaction,Utilities
amazon order payment,Shopping
interest income,Income
train ticket,Transport
milk purchase payment,Groceries
petrol expense,Transport
taxi fare expense,Transport
flight ticket payment,Travel
clothes purchase payment,Shopping
grocery shopping expense,Groceries
bonus received,Income
milk purchase 1444,Groceries
salary credited payment,Income
doctor consultation expense,Health
resort stay 2883,Travel
grocery shopping,Groceries
wifi payment payment,Utilities
zomato order,Food
petrol,Transport
medical bill transaction,Health
concert ticket expense,Entertainment
flight ticket 4140,Travel
water bill transaction,Utilities
supermarket 4123,Groceries
water bill,Utilities
taxi fare 4956,Transport
online shopping payment,Shopping
medical bill,Health
water bill,Utilities
dinner 1677,Food
grocery shopping 3372,Groceries
hospital visit transaction,Health
ration store transaction,Groceries
metro ticket expense,Transport
refund received,Income
game purchase transaction,Entertainment
bonus received payment,Income
refund received transaction,Income
wifi payment 1471,Utilities
train ticket transaction,Transport
grocery shopping 4088,Groceries
internet bill,Utilities
pharmacy transaction,Health
food delivery expense,Food
spotify premium payment,Entertainment
netflix subscription,Entertainment
auto rickshaw 2370,Transport
mall shopping,Shopping
clothes purchase transaction,Shopping
milk purchase 4325,Groceries
street food 1446,Food
electronics purchase 1317,Shopping
daily groceries,Groceries
electronics purchase,Shopping
vacation travel expense,Travel
supermarket 2310,Groceries
concert ticket,Entertainment
netflix subscription expense,Entertainment
pharmacy,Health
health checkup,Health
trip expense expense,Travel
dinner payment,Food
refund received expense,Income
flight ticket,Travel
hotel booking expense,Travel
new shoes transaction,Shopping
interest income expense,Income
diesel payment,Transport
daily groceries 4633,Groceries
cinema 1723,Entertainment
concert ticket payment,Entertainment
doctor consultation transaction,Health
mobile recharge transaction,Utilities
amazon order transaction,Shopping
gas bill transaction,Utilities
bus ticket 3931,Transport
restaurant meal 459,Food
snacks 4397,Food
taxi fare payment,Transport
diesel payment,Transport
gas bill transaction,Utilities
gas station,Transport
cashback received transaction,Income
vacation travel,Travel
hospital visit transaction,Health
milk purchase payment,Groceries
uber ride 2905,Transport
pizza,Food
ration store payment,Groceries
gas station 1844,Transport
restaurant meal,Food
tour booking payment,Travel
hotel booking expense,Travel
grocery shopping 352,Groceries
grocery shopping,Groceries
netflix subscription expense,Entertainment
water bill,Utilities
water bill,Utilities
resort stay,Travel
uber ride,Transport
health checkup transaction,Health
electricity bill expense,Utilities
spotify premium transaction,Entertainment
concert ticket payment,Entertainment
flight ticket 2609,Travel
diesel,Transport
ola cab transaction,Transport
resort stay,Travel
vegetable market expense,Groceries
electricity bill transaction,Utilities
cashback received payment,Income
train ticket expense,Transport
clothes purchase expense,Shopping
concert ticket payment,Entertainment
spotify premium,Entertainment
internet bill transaction,Utilities
lunch,Food
salary credited 421,Income
salary credited payment,Income
grocery shopping expense,Groceries
tour booking payment,Travel
amazon order payment,Shopping
daily groceries,Groceries
water bill,Utilities
freelance payment transaction,Income
grocery shopping expense,Groceries
swiggy order payment,Food
gas bill payment,Utilities
water bill transaction,Utilities
mobile recharge transaction,Utilities
medicine purchase expense,Health
taxi fare,Transport
health checkup,Health
concert ticket,Entertainment
resort stay 4755,Travel
medical bill payment,Health
coffee payment,Food
gas bill payment,Utilities
movie ticket payment,Entertainment
electricity bill,Utilities
hospital visit payment,Health
online shopping payment,Shopping
cinema transaction,Entertainment
vacation travel transaction,Travel
cashback received 953,Income
hospital visit expense,Health
freelance payment expense,Income
wifi payment 2392,Utilities
grocery shopping expense,Groceries
flipkart order 4525,Shopping
flipkart order expense,Shopping
water bill,Utilities
refund received payment,Income
cashback received transaction,Income
internet bill,Utilities
bus ticket payment,Transport
metro ticket transaction,Transport
clothes purchase payment,Shopping
health checkup transaction,Health
spotify premium 2110,Entertainment
medical bill 3279,Health
electricity bill payment,Utilities
electricity bill payment,Utilities
concert ticket,Entertainment
flipkart order,Shopping
tour booking expense,Travel
amazon order,Shopping
grocery shopping expense,Groceries
cashback received transaction,Income
medicine purchase transaction,Health
water bill,Utilities
salary credited,Income
milk purchase transaction,Groceries
grocery shopping payment,Groceries
petrol expense,Transport
netflix subscription payment,Entertainment
flight ticket,Travel
cinema expense,Entertainment
flipkart order 2316,Shopping
medicine purchase,Health
vegetable market payment,Groceries
cinema transaction,Entertainment
refund received expense,Income
fuel refill,Transport
doctor consultation expense,Health
game purchase payment,Entertainment
cinema transaction,Entertainment
resort stay payment,Travel
vacation travel payment,Travel
salary credited expense,Income
supermarket,Groceries
health checkup 2196,Health
spotify premium expense,Entertainment
salary credited transaction,Income
mobile recharge payment,Utilities
internet bill,Utilities
mobile recharge expense,Utilities
clothes purchase expense,Shopping
hospital visit payment,Health
gas bill,Utilities
hotel booking payment,Travel
doctor consultation,Health
health checkup,Health
new shoes payment,Shopping
trip expense,Travel
milk purchase,Groceries
breakfast,Food
interest income payment,Income
amazon order payment,Shopping
ration store 3406,Groceries
milk purchase,Groceries
tea,Food
netflix subscription expense,Entertainment
snacks,Food
spotify premium expense,Entertainment
uber ride transaction,Transport
medicine purchase transaction,Health
supermarket 4397,Groceries
cashback received,Income
lunch 3881,Food
ration store,Groceries
online shopping 2096,Shopping
game purchase,Entertainment
doctor consultation 554,Health
game purchase,Entertainment
doctor consultation,Health
gas bill,Utilities
milk purchase expense,Groceries
electronics purchase,Shopping
mobile recharge transaction,Utilities
salary credited expense,Income
gas bill transaction,Utilities
breakfast 952,Food
electricity bill payment,Utilities
spotify premium,Entertainment
flipkart order,Shopping
bonus received,Income
ration store payment,Groceries
pizza payment,Food
mobile recharge,Utilities
internet bill 1836,Utilities
concert ticket,Entertainment
metro ticket 272,Transport
trip expense,Travel
burger 4582,Food
metro ticket payment,Transport
concert ticket 1333,Entertainment
dinner transaction,Food
vacation travel,Travel
clothes purchase,Shopping
ola cab 2073,Transport
concert ticket,Entertainment
tour booking expense,Travel
water bill expense,Utilities
supermarket,Groceries
concert ticket payment,Entertainment
cinema payment,Entertainment
electricity bill payment,Utilities
train ticket,Transport
new shoes transaction,Shopping
breakfast 1976,Food
refund received,Income
water bill,Utilities
pizza transaction,Food
taxi fare payment,Transport
ration store payment,Groceries
freelance payment payment,Income
internet bill,Utilities
hotel booking transaction,Travel
petrol transaction,Transport
electricity bill expense,Utilities
interest income transaction,Income
game purchase 2165,Entertainment
concert ticket transaction,Entertainment
doctor consultation expense,Health
hotel booking,Travel
breakfast payment,Food
tea expense,Food
trip expense 2437,Travel
spotify premium expense,Entertainment
food delivery,Food
milk purchase transaction,Groceries
taxi fare,Transport
ration store,Groceries
mobile recharge expense,Utilities
internet bill payment,Utilities
grocery shopping payment,Groceries
taxi fare,Transport
uber ride,Transport
movie ticket expense,Entertainment
water bill 4804,Utilities
clothes purchase transaction,Shopping
grocery shopping transaction,Groceries
taxi fare payment,Transport
cinema,Entertainment
bonus received expense,Income
hospital visit expense,Health
medical bill payment,Health
diesel,Transport
grocery shopping,Groceries
bus ticket payment,Transport
doctor consultation,Health
ration store,Groceries
trip expense 4922,Travel
salary credited expense,Income
ration store,Groceries
hotel booking expense,Travel
gas station,Transport
refund received,Income
gas bill expense,Utilities
concert ticket,Entertainment
doctor consultation expense,Health
street food expense,Food
salary credited expense,Income
dinner expense,Food
restaurant meal 3089,Food
concert ticket,Entertainment
hospital visit,Health
refund received 4981,Income
vacation travel,Travel
ration store,Groceries
lunch expense,Food
pharmacy payment,Health
netflix subscription expense,Entertainment
health checkup,Health
doctor consultation expense,Health
doctor consultation 2806,Health
spotify premium 204,Entertainment
wifi payment transaction,Utilities
milk purchase payment,Groceries
netflix subscription,Entertainment
breakfast transaction,Food
daily groceries payment,Groceries
diesel 3975,Transport
concert ticket,Entertainment
electronics purchase transaction,Shopping
pharmacy 4524,Health
tour booking,Travel
concert ticket expense,Entertainment
doctor consultation transaction,Health
water bill expense,Utilities
salary credited expense,Income
supermarket,Groceries
bonus received,Income
doctor consultation,Health
milk purchase,Groceries
auto rickshaw,Transport
mall shopping,Shopping
amazon order,Shopping
refund received payment,Income
snacks expense,Food
salary credited,Income
game purchase,Entertainment
food delivery 3581,Food
internet bill 4991,Utilities
petrol payment,Transport
hospital visit 1759,Health
concert ticket expense,Entertainment
mobile recharge payment,Utilities
bus ticket,Transport
flight ticket,Travel
hotel booking 941,Travel
tour booking,Travel
trip expense,Travel
bonus received expense,Income
movie ticket payment,Entertainment
health checkup,Health
flight ticket expense,Travel
hotel booking payment,Travel
bonus received,Income
hospital visit,Health
internet bill,Utilities
internet bill,Utilities
salary credited payment,Income
breakfast expense,Food
vacation travel expense,Travel
amazon order,Shopping
refund received,Income
amazon order transaction,Shopping
swiggy order 639,Food
cinema payment,Entertainment
vacation travel 1391,Travel
metro ticket 3918,Transport
ration store payment,Groceries
coffee,Food
milk purchase,Groceries
medical bill,Health
movie ticket,Entertainment
vegetable market expense,Groceries
clothes purchase,Shopping
resort stay,Travel
trip expense transaction,Travel
train ticket 1442,Transport
wifi payment expense,Utilities
food delivery expense,Food
amazon order payment,Shopping
train ticket payment,Transport
netflix subscription expense,Entertainment
interest income payment,Income
coffee,Food
shopping expense,Shopping
health checkup transaction,Health
clothes purchase,Shopping
medicine purchase,Health
water bill,Utilities
supermarket,Groceries
freelance payment 4481,Income
new shoes transaction,Shopping
mobile recharge 4306,Utilities
water bill 556,Utilities
doctor consultation payment,Health
vegetable market expense,Groceries
shopping payment,Shopping
snacks,Food
metro ticket,Transport
coffee transaction,Food
ration store 4778,Groceries
milk purchase expense,Groceries
salary credited payment,Income
amazon order,Shopping
vegetable market 2212,Groceries
metro ticket 1991,Transport
health checkup 331,Health
wifi payment transaction,Utilities
zomato order,Food
new shoes expense,Shopping
hotel booking,Travel
flipkart order payment,Shopping
new shoes transaction,Shopping
petrol payment,Transport
ration store 1599,Groceries
medical bill payment,Health
salary credited,Income
petrol payment,Transport
breakfast transaction,Food
hospital visit transaction,Health
supermarket expense,Groceries
resort stay,Travel
vacation travel payment,Travel
amazon order 4637,Shopping
wifi payment 2328,Utilities
spotify premium payment,Entertainment
interest income payment,Income
hospital visit expense,Health
dinner 2304,Food
milk purchase expense,Groceries
hotel booking,Travel
internet bill payment,Utilities
hotel booking expense,Travel
gas station payment,Transport
daily groceries 4525,Groceries
vacation travel 1057,Travel
pharmacy 4148,Health
health checkup expense,Health
supermarket,Groceries
movie ticket 1363,Entertainment
restaurant meal transaction,Food
cashback received,Income
internet bill expense,Utilities
ration store transaction,Groceries
uber ride,Transport
pharmacy 1414,Health
salary credited,Income
resort stay 1222,Travel
hotel booking,Travel
online shopping expense,Shopping
medicine purchase,Health
train ticket,Transport
snacks payment,Food
burger payment,Food
shopping payment,Shopping
electronics purchase,Shopping
milk purchase 2956,Groceries
spotify premium expense,Entertainment
flipkart order,Shopping
fuel refill,Transport
train ticket,Transport
coffee 4814,Food
snacks,Food
zomato order,Food
clothes purchase,Shopping
metro ticket transaction,Transport
flight ticket,Travel
electronics purchase,Shopping
new shoes,Shopping
salary credited payment,Income
clothes purchase transaction,Shopping
game purchase,Entertainment
gas station expense,Transport
vacation travel,Travel
spotify premium payment,Entertainment
hotel booking,Travel
doctor consultation 4535,Health
shopping,Shopping
ola cab transaction,Transport
daily groceries expense,Groceries
freelance payment expense,Income
mall shopping transaction,Shopping
internet bill payment,Utilities
tea,Food
mall shopping expense,Shopping
internet bill,Utilities
supermarket 4866,Groceries
freelance payment payment,Income
hospital visit transaction,Health
flight ticket,Travel
restaurant meal,Food
taxi fare expense,Transport
ola cab,Transport
bonus received,Income
movie ticket,Entertainment
mall shopping,Shopping
movie ticket,Entertainment
medicine purchase expense,Health
doctor consultation,Health
wifi payment,Utilities
bonus received payment,Income
uber ride 2414,Transport
bonus received transaction,Income
auto rickshaw,Transport
snacks expense,Food
milk purchase,Groceries
vacation travel 531,Travel
wifi payment transaction,Utilities
restaurant meal,Food
netflix subscription 1261,Entertainment
cashback received expense,Income
milk purchase 747,Groceries
ration store transaction,Groceries
movie ticket 3756,Entertainment
flipkart order 162,Shopping
shopping payment,Shopping
game purchase,Entertainment
netflix subscription,Entertainment
petrol expense,Transport
burger,Food
cashback received expense,Income
gas bill 2496,Utilities
food delivery,Food
game purchase payment,Entertainment
zomato order transaction,Food
electricity bill expense,Utilities
water bill,Utilities
vacation travel,Travel
electricity bill 4986,Utilities
cinema,Entertainment
resort stay,Travel
medicine purchase,Health
netflix subscription expense,Entertainment
medical bill,Health
snacks 1249,Food
hotel booking expense,Travel
salary credited expense,Income
shopping,Shopping
milk purchase expense,Groceries
game purchase payment,Entertainment
burger,Food
shopping payment,Shopping
flight ticket,Travel
hotel booking payment,Travel
supermarket expense,Groceries
ration store,Groceries
mobile recharge transaction,Utilities
pharmacy payment,Health
hospital visit,Health
vegetable market 372,Groceries
train ticket payment,Transport
petrol transaction,Transport
netflix subscription,Entertainment
concert ticket 2444,Entertainment
internet bill,Utilities
supermarket,Groceries
game purchase payment,Entertainment
burger expense,Food
electricity bill payment,Utilities
cashback received,Income
game purchase expense,Entertainment
daily groceries expense,Groceries
interest income,Income
petrol expense,Transport
tour booking transaction,Travel
flipkart order,Shopping
daily groceries expense,Groceries
mall shopping expense,Shopping
trip expense transaction,Travel
wifi payment,Utilities
hospital visit payment,Health
netflix subscription,Entertainment
concert ticket 1285,Entertainment
wifi payment payment,Utilities
restaurant meal 1335,Food
supermarket payment,Groceries
vegetable market,Groceries
grocery shopping transaction,Groceries
concert ticket,Entertainment
amazon order 284,Shopping
game purchase transaction,Entertainment
freelance payment payment,Income
doctor consultation expense,Health
burger transaction,Food
dinner,Food
electricity bill,Utilities
daily groceries 4838,Groceries
salary credited,Income
ration store,Groceries
internet bill payment,Utilities
supermarket payment,Groceries
ration store,Groceries
supermarket,Groceries
metro ticket payment,Transport
taxi fare,Transport
dinner,Food
bonus received payment,Income
shopping,Shopping
swiggy order payment,Food
resort stay,Travel
street food transaction,Food
taxi fare,Transport
burger payment,Food
fuel refill payment,Transport
water bill transaction,Utilities
supermarket,Groceries
amazon order payment,Shopping
medicine purchase 4328,Health
cinema payment,Entertainment
wifi payment 308,Utilities
refund received,Income
hotel booking expense,Travel
hotel booking,Travel
new shoes 2809,Shopping
interest income payment,Income
train ticket payment,Transport
interest income,Income
trip expense expense,Travel
swiggy order transaction,Food
tour booking transaction,Travel
doctor consultation,Health
mobile recharge payment,Utilities
water bill 1907,Utilities
spotify premium 4128,Entertainment
restaurant meal,Food
water bill transaction,Utilities
vacation travel transaction,Travel
resort stay,Travel
food delivery,Food
breakfast expense,Food
mall shopping payment,Shopping
electronics purchase expense,Shopping
interest income,Income
pharmacy transaction,Health
uber ride transaction,Transport
movie ticket payment,Entertainment
water bill payment,Utilities
electronics purchase transaction,Shopping
flight ticket expense,Travel
vacation travel payment,Travel
medicine purchase 4457,Health
hospital visit 4328,Health
supermarket payment,Groceries
fuel refill,Transport
hospital visit,Health
vegetable market,Groceries
swiggy order 3163,Food
ola cab transaction,Transport
flight ticket,Travel
bonus received,Income
restaurant meal 656,Food
bonus received transaction,Income
petrol 3075,Transport
amazon order,Shopping
gas station expense,Transport
metro ticket transaction,Transport
auto rickshaw 1490,Transport
medicine purchase transaction,Health
hospital visit transaction,Health
taxi fare 1844,Transport
new shoes,Shopping
online shopping expense,Shopping
online shopping,Shopping
gas bill expense,Utilities
cinema 1344,Entertainment
amazon order expense,Shopping
refund received transaction,Income
wifi payment transaction,Utilities
hospital visit,Health
interest income payment,Income
bonus received expense,Income
food delivery transaction,Food
water bill payment,Utilities
bonus received transaction,Income
game purchase payment,Entertainment
cashback received transaction,Income
new shoes transaction,Shopping
breakfast,Food
tour booking payment,Travel
freelance payment transaction,Income
freelance payment 3491,Income
medical bill,Health
online shopping,Shopping
milk purchase,Groceries
cashback received,Income
auto rickshaw payment,Transport
water bill 1464,Utilities
resort stay transaction,Travel
taxi fare payment,Transport
movie ticket payment,Entertainment
supermarket expense,Groceries
refund received,Income
petrol 3033,Transport
movie ticket 1897,Entertainment
mobile recharge transaction,Utilities
freelance payment expense,Income
taxi fare expense,Transport
salary credited,Income
hospital visit,Health
online shopping,Shopping
electronics purchase transaction,Shopping
pharmacy 622,Health
cashback received 2924,Income
bonus received,Income
medicine purchase expense,Health
street food 1755,Food
daily groceries,Groceries
gas bill transaction,Utilities
snacks,Food
hotel booking,Travel
mobile recharge,Utilities
electricity bill transaction,Utilities
grocery shopping,Groceries
milk purchase expense,Groceries
street food transaction,Food
water bill,Utilities
auto rickshaw,Transport
lunch 4946,Food
milk purchase expense,Groceries
vacation travel expense,Travel
daily groceries,Groceries
cinema 1806,Entertainment
mall shopping payment,Shopping
spotify premium 4102,Entertainment
game purchase transaction,Entertainment
interest income,Income
refund received transaction,Income
trip expense,Travel
online shopping transaction,Shopping
gas bill transaction,Utilities
ration store expense,Groceries
movie ticket transaction,Entertainment
electricity bill,Utilities
breakfast transaction,Food
spotify premium 2613,Entertainment
snacks,Food
shopping transaction,Shopping
zomato order payment,Food
wifi payment,Utilities
vegetable market payment,Groceries
resort stay payment,Travel
gas bill expense,Utilities
doctor consultation expense,Health
gas station 4277,Transport
new shoes,Shopping
coffee transaction,Food
ration store,Groceries
daily groceries payment,Groceries
tea transaction,Food
ration store,Groceries
restaurant meal transaction,Food
netflix subscription 3617,Entertainment
cashback received 3670,Income
hospital visit,Health
lunch payment,Food
taxi fare expense,Transport
internet bill transaction,Utilities
game purchase transaction,Entertainment
trip expense,Travel
online shopping transaction,Shopping
netflix subscription,Entertainment
refund received,Income
cinema expense,Entertainment
auto rickshaw transaction,Transport
electricity bill 1903,Utilities
freelance payment payment,Income
cashback received transaction,Income
mall shopping,Shopping
vacation travel 2648,Travel
hotel booking 1050,Travel
bus ticket,Transport
movie ticket 1938,Entertainment
supermarket,Groceries
daily groceries expense,Groceries
wifi payment 135,Utilities
grocery shopping,Groceries
bus ticket payment,Transport
vacation travel transaction,Travel
grocery shopping expense,Groceries
water bill,Utilities
wifi payment,Utilities
shopping payment,Shopping
flight ticket,Travel
breakfast expense,Food
internet bill,Utilities
clothes purchase expense,Shopping
salary credited,Income
lunch,Food
amazon order transaction,Shopping
bonus received,Income
game purchase,Entertainment
pharmacy,Health
ration store transaction,Groceries
cinema transaction,Entertainment
internet bill,Utilities
grocery shopping,Groceries
train ticket expense,Transport
food delivery,Food
amazon order 4719,Shopping
cinema transaction,Entertainment
gas bill,Utilities
breakfast 1138,Food
mall shopping payment,Shopping
bonus received transaction,Income
street food payment,Food
bus ticket,Transport
interest income expense,Income
hotel booking,Travel
movie ticket expense,Entertainment
interest income transaction,Income
salary credited,Income
gas station payment,Transport
restaurant meal 887,Food
pharmacy,Health
amazon order payment,Shopping
zomato order payment,Food
diesel,Transport
flipkart order transaction,Shopping
online shopping,Shopping
wifi payment 3633,Utilities
mobile recharge,Utilities
gas bill,Utilities
grocery shopping,Groceries
netflix subscription expense,Entertainment
online shopping expense,Shopping
cinema,Entertainment
electronics purchase transaction,Shopping
tour booking payment,Travel
grocery shopping,Groceries
clothes purchase 715,Shopping
spotify premium transaction,Entertainment
ration store payment,Groceries
tour booking 1732,Travel
concert ticket payment,Entertainment
refund received expense,Income
daily groceries,Groceries
cinema,Entertainment
coffee,Food
medicine purchase expense,Health
dinner,Food
refund received expense,Income
mall shopping 3964,Shopping
salary credited transaction,Income
burger,Food
resort stay transaction,Travel
electronics purchase expense,Shopping
doctor consultation 1582,Health
milk purchase transaction,Groceries
health checkup transaction,Health
bonus received,Income
gas bill transaction,Utilities
concert ticket expense,Entertainment
milk purchase transaction,Groceries
online shopping payment,Shopping
electronics purchase 4298,Shopping
cashback received payment,Income
flight ticket transaction,Travel
fuel refill expense,Transport
bus ticket transaction,Transport
interest income,Income
milk purchase transaction,Groceries
electronics purchase expense,Shopping
lunch expense,Food
flipkart order payment,Shopping
doctor consultation transaction,Health
electricity bill,Utilities
daily groceries,Groceries
bus ticket transaction,Transport
milk purchase transaction,Groceries
hospital visit,Health
medicine purchase 168,Health
movie ticket,Entertainment
ration store 1872,Groceries
tour booking,Travel
freelance payment,Income
health checkup,Health
movie ticket payment,Entertainment
daily groceries transaction,Groceries
train ticket payment,Transport
electronics purchase 2819,Shopping
pharmacy payment,Health
lunch,Food
tea,Food
food delivery,Food
resort stay transaction,Travel
netflix subscription payment,Entertainment
concert ticket expense,Entertainment
game purchase,Entertainment
flight ticket,Travel
freelance payment transaction,Income
snacks 3174,Food
electricity bill payment,Utilities
vegetable market payment,Groceries
shopping 4983,Shopping
health checkup transaction,Health
medical bill expense,Health
concert ticket expense,Entertainment
uber ride 1716,Transport
netflix subscription payment,Entertainment
spotify premium,Entertainment
cinema,Entertainment
cinema,Entertainment
hospital visit transaction,Health
pharmacy,Health
ration store expense,Groceries
restaurant meal,Food
snacks payment,Food
pizza expense,Food
hotel booking,Travel
netflix subscription expense,Entertainment
hotel booking 3209,Travel
amazon order payment,Shopping
supermarket payment,Groceries
mobile recharge transaction,Utilities
game purchase 3994,Entertainment
fuel refill payment,Transport
daily groceries 1413,Groceries
snacks 2067,Food
online shopping 96,Shopping
interest income,Income
trip expense,Travel
pizza transaction,Food
pharmacy payment,Health
clothes purchase transaction,Shopping
pharmacy expense,Health
petrol expense,Transport
restaurant meal,Food
food delivery expense,Food
resort stay,Travel
doctor consultation payment,Health
wifi payment 2721,Utilities
hotel booking payment,Travel
movie ticket,Entertainment
electronics purchase payment,Shopping
online shopping 2105,Shopping
milk purchase,Groceries
electricity bill payment,Utilities
trip expense 1504,Travel
pizza,Food
wifi payment payment,Utilities
cinema payment,Entertainment
shopping transaction,Shopping
hotel booking,Travel
daily groceries expense,Groceries
new shoes,Shopping
train ticket expense,Transport
flipkart order,Shopping
clothes purchase,Shopping
electronics purchase 1009,Shopping
mobile recharge,Utilities
swiggy order expense,Food
